# ms,sample,dist,cppm,valid,dist_filt,dist_smooth,rx_fail
337068,311085,0.83,-1.61,1,0.83,0.83,38
337069,311086,0.74,-1.80,1,0.83,0.83,38
337070,311087,0.83,-1.71,1,0.83,0.83,38
337071,311088,0.81,-1.82,1,0.83,0.83,38
337072,311089,0.83,-1.55,1,0.83,0.83,38
337073,311090,0.83,-1.70,1,0.83,0.83,38
337075,311091,0.85,-1.64,1,0.83,0.83,38
337076,311092,0.85,-1.70,1,0.83,0.83,38
337077,311093,0.84,-1.65,1,0.84,0.83,38
337078,311094,0.81,-1.70,1,0.84,0.83,38
337079,311095,0.80,-1.76,1,0.84,0.83,38
337080,311096,0.83,-1.91,1,0.83,0.83,38
337081,311097,0.83,-1.86,1,0.83,0.83,38
337082,311098,0.83,-1.85,1,0.83,0.83,38
337083,311099,0.85,-1.64,1,0.83,0.83,38
337084,311100,0.83,-1.65,1,0.83,0.83,38
337085,311101,0.80,-1.61,1,0.83,0.83,38
337086,311102,0.82,-1.52,1,0.83,0.83,38
337088,311103,0.84,-1.70,1,0.83,0.83,38
337089,311104,0.85,-1.64,1,0.83,0.83,38
337090,311105,0.86,-1.67,1,0.84,0.83,38
337091,311106,0.83,-1.82,1,0.84,0.83,38
337092,311107,0.82,-1.76,1,0.84,0.84,38
337093,311108,0.82,-1.64,1,0.83,0.83,38
337094,311109,0.81,-1.82,1,0.82,0.83,38
337095,311110,0.84,-1.71,1,0.82,0.83,38
337096,311111,0.84,-1.71,1,0.82,0.83,38
337097,311112,0.83,-1.80,1,0.83,0.83,38
337098,311113,0.83,-1.70,1,0.83,0.83,38
337099,311114,0.80,-1.71,1,0.83,0.83,38
337101,311115,0.83,-1.70,1,0.83,0.83,38
337102,311116,0.80,-1.83,1,0.83,0.83,38
337103,311117,0.83,-1.68,1,0.83,0.83,38
337104,311118,0.85,-1.62,1,0.83,0.83,38
337105,311119,0.86,-1.59,1,0.83,0.83,38
337106,311120,0.82,-1.70,1,0.83,0.83,38
337107,311121,0.81,-1.61,1,0.83,0.83,38
337108,311122,0.83,-1.71,1,0.83,0.83,38
337109,311123,0.85,-1.67,1,0.83,0.83,38
337110,311124,0.83,-1.67,1,0.83,0.83,38
337111,311125,0.87,-1.73,1,0.83,0.83,38
337112,311126,0.85,-1.70,1,0.85,0.83,38
337114,311127,0.83,-1.74,1,0.85,0.84,38
337115,311128,0.82,-1.74,1,0.83,0.84,38
337116,311129,0.82,-1.76,1,0.83,0.83,38
337117,311130,0.83,-1.77,1,0.83,0.83,38
337118,311131,0.84,-1.79,1,0.83,0.83,38
337119,311132,0.83,-1.76,1,0.83,0.83,38
337120,311133,0.83,-1.77,1,0.83,0.83,38
337121,311134,0.83,-1.68,1,0.83,0.83,38
337122,311135,0.81,-1.76,1,0.83,0.83,38
337123,311136,0.83,-1.76,1,0.83,0.83,38
337124,311137,0.86,-1.70,1,0.83,0.83,38
337125,311138,0.85,-1.70,1,0.83,0.83,38
337127,311139,0.84,-1.53,1,0.84,0.83,38
337128,311140,0.80,-1.74,1,0.84,0.83,38
337129,311141,0.83,-1.71,1,0.84,0.83,38
337130,311142,0.81,-1.67,1,0.83,0.83,38
337131,311143,0.82,-1.74,1,0.82,0.83,38
337132,311144,0.84,-1.82,1,0.82,0.83,38
337133,311145,0.83,-1.74,1,0.83,0.83,38
337134,311146,0.83,-1.64,1,0.83,0.83,38
337135,311147,0.80,-1.76,1,0.83,0.83,38
337136,311148,0.84,-1.67,1,0.83,0.83,38
337137,311149,0.83,-1.71,1,0.83,0.83,38
337139,311150,0.83,-1.77,1,0.83,0.83,38
337140,311151,0.86,-1.65,1,0.83,0.83,38
337141,311152,0.88,-1.67,1,0.84,0.83,38
337142,311153,0.88,-1.55,1,0.86,0.83,38
337143,311154,0.84,-1.56,1,0.86,0.84,38
337144,311155,0.83,-1.55,1,0.86,0.84,38
337145,311156,0.83,-1.65,1,0.84,0.84,38
337146,311157,0.85,-1.65,1,0.84,0.84,38
337147,311158,0.86,-1.65,1,0.84,0.84,38
337148,311159,0.85,-1.71,1,0.85,0.84,38
337149,311160,0.84,-1.62,1,0.85,0.84,38
337150,311161,0.82,-1.67,1,0.85,0.84,38
337152,311162,0.81,-1.74,1,0.84,0.84,38
337153,311163,0.83,-1.80,1,0.83,0.84,38
337154,311164,0.87,-1.71,1,0.83,0.84,38
337155,311165,0.84,-1.82,1,0.83,0.84,38
337156,311166,0.83,-1.73,1,0.83,0.84,38
337157,311167,0.84,-1.62,1,0.84,0.84,38
337158,311168,0.79,-1.74,1,0.84,0.84,38
337159,311169,0.83,-1.65,1,0.83,0.84,38
337160,311170,0.83,-1.65,1,0.83,0.84,38
337161,311171,0.85,-1.58,1,0.83,0.84,38
337162,311172,0.87,-1.70,1,0.83,0.84,38
337163,311173,0.86,-1.64,1,0.85,0.84,38
337165,311174,0.83,-1.73,1,0.85,0.84,38
337166,311175,0.82,-1.76,1,0.85,0.84,38
337167,311176,0.83,-1.73,1,0.83,0.84,38
337168,311177,0.84,-1.68,1,0.83,0.84,38
337169,311178,0.86,-1.82,1,0.83,0.84,38
337170,311179,0.83,-1.74,1,0.83,0.84,38
337171,311180,0.85,-1.64,1,0.84,0.84,38
337172,311181,0.80,-1.74,1,0.84,0.84,38
337173,311182,0.82,-1.70,1,0.83,0.84,38
337174,311183,0.85,-1.64,1,0.83,0.84,38
337175,311184,0.83,-1.82,1,0.83,0.84,38
337176,311185,0.83,-1.77,1,0.83,0.84,38
337178,311186,0.87,-1.64,1,0.83,0.84,38
337179,311187,0.84,-1.70,1,0.84,0.84,38
337180,311188,0.83,-1.62,1,0.83,0.84,38
337181,311189,0.85,-1.71,1,0.84,0.84,38
337182,311190,0.84,-1.73,1,0.84,0.84,38
337183,311191,0.87,-1.68,1,0.84,0.84,38
337184,311192,0.86,-1.70,1,0.85,0.84,38
