# ms,sample,dist,cppm,valid,dist_filt,dist_smooth,rx_fail
797587,1.0�864711,797588,1.06,-1.55,1,1.05,1.03,78
864712,797589,1.03,-1.67,1,1.05,1.03,78
864713,797590,1.04,-1.68,1,1.05,1.03,78
864714,797591,1.04,-1.65,1,1.04,1.04,78
864715,797592,1.05,-1.51,1,1.04,1.04,78
864716,797593,1.02,-1.52,1,1.04,1.04,78
864717,797594,1.04,-1.67,1,1.04,1.04,78
864718,797595,1.04,-1.67,1,1.04,1.04,78
864719,797596,1.04,-1.56,1,1.04,1.04,78
864721,797597,1.03,-1.67,1,1.04,1.04,78
864722,797598,1.02,-1.67,1,1.04,1.04,78
864723,797599,1.05,-1.65,1,1.04,1.04,78
864724,797600,1.05,-1.59,1,1.04,1.04,78
864725,797601,1.01,-1.67,1,1.03,1.04,78
864726,797602,1.02,-1.53,1,1.02,1.04,78
864727,797603,1.02,-1.52,1,1.02,1.04,78
864728,797604,1.04,-1.53,1,1.02,1.04,78
864729,797605,1.00,-1.67,1,1.02,1.03,78
864730,797606,0.99,-1.58,1,1.02,1.03,78
864731,797607,1.03,-1.45,1,1.02,1.03,78
864732,797608,1.02,-1.64,1,1.02,1.03,78
864734,797609,0.99,-1.53,1,1.00,1.03,78
864735,797610,1.00,-1.48,1,1.00,1.03,78
864736,797611,1.04,-1.49,1,1.02,1.03,78
864737,797612,1.00,-1.65,1,1.00,1.03,78
864738,797613,0.96,-1.62,1,1.00,1.03,78
864739,797614,0.98,-1.61,1,1.00,1.03,78
864740,797615,1.01,-1.56,1,1.00,1.02,78
864741,797616,0.98,-1.61,1,0.98,1.02,78
864742,797617,0.97,-1.68,1,0.98,1.02,78
864743,797618,0.98,-1.64,1,0.98,1.02,78
864744,797619,0.99,-1.55,1,0.98,1.02,78
864745,797620,0.98,-1.59,1,0.98,1.01,78
864747,797621,0.96,-1.51,1,0.98,1.01,78
864748,797622,0.97,-1.64,1,0.98,1.01,78
864749,797623,1.00,-1.58,1,0.98,1.01,78
864750,797624,0.98,-1.62,1,0.98,1.01,78
864751,797625,0.97,-1.56,1,0.97,1.01,78
864752,797626,0.99,-1.59,1,0.98,1.00,78
864753,797627,1.02,-1.55,1,0.99,1.00,78
864754,797628,0.96,-1.67,1,0.98,1.00,78
864755,797629,0.99,-1.59,1,0.99,1.00,78
864756,797630,1.02,-1.55,1,0.99,1.00,78
864757,797631,0.99,-1.68,1,0.99,1.00,78
864758,797632,1.04,-1.56,1,0.99,1.00,78
864760,797633,1.06,-1.53,1,1.02,1.00,78
864761,797634,1.02,-1.59,1,1.02,1.00,78
864762,797635,1.04,-1.65,1,1.04,1.00,78
864763,797636,1.08,-1.64,1,1.04,1.01,78
864764,797637,1.36,-1.67,1,1.06,1.01,78
864765,797638,1.11,-1.70,1,1.08,1.01,78
864766,797639,1.45,-1.59,0,1.08,1.01,78
864767,797640,1.34,-1.56,1,1.11,1.02,78
864768,797641,1.35,-1.62,1,1.34,1.02,78
864769,797642,1.39,-1.48,1,1.35,1.02,78
864770,797643,1.33,-1.65,1,1.34,1.02,78
864771,797644,1.22,-1.59,1,1.34,1.02,78
864773,797645,1.32,-1.53,1,1.33,1.02,78
864774,797646,1.31,-1.70,1,1.32,1.02,78
864775,797647,1.30,-1.67,1,1.31,1.02,78
864776,797648,1.27,-1.62,1,1.30,1.02,78
864777,797649,1.33,-1.56,1,1.31,1.02,78
864778,797650,1.29,-1.61,1,1.30,1.02,78
864779,797651,1.24,-1.56,1,1.29,1.02,78
864780,797652,1.22,-1.53,1,1.27,1.02,78
864781,797653,1.25,-1.59,1,1.25,1.02,78
864782,797654,1.29,-1.56,1,1.25,1.02,78
864783,797655,1.17,-1.61,1,1.24,1.02,78
864785,797656,1.22,-1.59,1,1.22,1.02,78
864786,797657,1.20,-1.59,1,1.22,1.02,78
864787,797658,1.20,-1.64,1,1.20,1.02,78
864788,797659,1.19,-1.58,1,1.20,1.02,78
864789,797660,1.20,-1.64,1,1.20,1.02,78
864790,797661,1.19,-1.62,1,1.20,1.02,78
864791,797662,1.13,-1.59,1,1.19,1.02,78
864792,797663,1.20,-1.67,1,1.19,1.02,78
864793,797664,1.18,-1.52,1,1.19,1.02,78
864794,797665,1.13,-1.65,1,1.18,1.02,78
864795,797666,1.13,-1.70,1,1.13,1.02,78
864796,797667,1.16,-1.74,1,1.16,1.02,78
864798,797668,1.14,-1.68,1,1.14,1.03,78
864799,797669,1.09,-1.61,1,1.13,1.03,78
864800,797670,1.12,-1.64,1,1.13,1.04,78
864801,797671,1.14,-1.70,1,1.14,1.04,78
864802,797672,1.10,-1.59,1,1.12,1.05,78
864803,797673,1.10,-1.62,1,1.10,1.05,78
864804,797674,1.09,-1.68,1,1.10,1.05,78
864805,797675,1.11,-1.52,1,1.10,1.05,78
864806,797676,1.07,-1.51,1,1.10,1.06,78
864807,797677,1.08,-1.61,1,1.09,1.06,78
864808,797678,1.08,-1.58,1,1.08,1.06,78
864809,797679,1.08,-1.55,1,1.08,1.06,78
864811,797680,1.08,-1.62,1,1.08,1.06,78
864812,797681,1.09,-1.55,1,1.08,1.06,78
864813,797682,1.09,-1.58,1,1.08,1.06,78
864814,797683,1.06,-1.61,1,1.08,1.06,78
864815,797684,1.08,-1.68,1,1.08,1.06,78
864816,797685,1.06,-1.61,1,1.08,1.06,78
864817,797686,1.09,-1.59,1,1.08,1.07,78
864818,797687,1.13,-1.59,1,1.08,1.07,78
864819,797688,1.10,-1.67,1,1.09,1.07,78
864820,797689,1.10,-1.56,1,1.10,1.07,78
864821,797690,1.14,-1.59,1,1.10,1.07,78
864822,797691,1.15,-1.58,1,1.13,1.07,78
864824,797692,1.21,-1.43,1,1.14,1.08,78
864825,797693,1.26,-1.67,1,1.15,1.08,78
864826,797694,1.23,-1.61,1,1.21,1.08,78
864827,797695,1.44,-1.58,1,1.23,1.08,78
864828,797696,1.48,-1.67,1,1.26,1.08,78
864829,797697,1.39,-1.48,1,1.39,1.08,78
864830,797698,1.12,-1.55,1,1.39,1.08,78
864831,797699,1.46,-1.61,0,1.39,1.08,78
864832,797700,1.48,-1.56,0,1.39,1.08,78
864833,797701,1.35,-1.61,1,1.39,1.08,78
864834,797702,1.45,-1.65,1,1.39,1.08,78
864835,797703,1.40,-1.58,1,1.39,1.08,78
864837,797704,1.35,-1.64,1,1.35,1.08,78
864838,797705,1.40,-1.55,1,1.40,1.08,78
864839,797706,1.35,-1.56,1,1.40,1.08,78
864840,797707,1.35,-1.52,1,1.35,1.08,78
864841,797708,1.37,-1.70,1,1.35,1.08,78
864842,797709,1.29,-1.64,1,1.35,1.08,78
864843,797710,1.30,-1.58,1,1.35,1.08,78
864844,797711,1.33,-1.62,1,1.33,1.08,78
864845,797712,1.27,-1.70,1,1.30,1.08,78
864846,797713,1.30,-1.56,1,1.30,1.08,78
864847,797714,1.29,-1.65,1,1.30,1.08,78
864848,797715,1.32,-1.46,1,1.30,1.08,78
864850,797716,1.32,-1.62,1,1.30,1.08,78
