# ms,sample,dist,cppm,valid,dist_filt,dist_smooth,rx_fail
691882,638220,1.08,-��j
691883,638221,1.07,-1.48,1,1.07,1.07,78
691885,638222,1.08,-1.55,1,1.08,1.07,78
691886,638223,1.07,-1.53,1,1.07,1.07,78
691887,638224,1.07,-1.53,1,1.07,1.07,78
691888,638225,1.08,-1.59,1,1.07,1.07,78
691889,638226,1.08,-1.46,1,1.08,1.07,78
691890,638227,1.06,-1.52,1,1.07,1.07,78
691891,638228,1.08,-1.45,1,1.08,1.07,78
691892,638229,1.08,-1.52,1,1.08,1.07,78
691893,638230,1.07,-1.59,1,1.08,1.07,78
691894,638231,1.07,-1.59,1,1.07,1.07,78
691895,638232,1.08,-1.62,1,1.08,1.07,78
691896,638233,1.05,-1.52,1,1.07,1.07,78
691898,638234,1.07,-1.52,1,1.07,1.07,78
691899,638235,1.08,-1.52,1,1.07,1.07,78
691900,638236,1.05,-1.59,1,1.07,1.07,78
691901,638237,1.06,-1.58,1,1.06,1.07,78
691902,638238,1.07,-1.61,1,1.07,1.07,78
691903,638239,1.07,-1.58,1,1.07,1.07,78
691904,638240,1.07,-1.45,1,1.07,1.07,78
691905,638241,1.07,-1.64,1,1.07,1.07,78
691906,638242,1.07,-1.52,1,1.07,1.07,78
691907,638243,1.06,-1.58,1,1.07,1.07,78
691908,638244,1.08,-1.55,1,1.07,1.07,78
691909,638245,1.06,-1.62,1,1.07,1.07,78
691911,638246,1.07,-1.52,1,1.07,1.07,78
691912,638247,1.08,-1.52,1,1.07,1.07,78
691913,638248,1.09,-1.48,1,1.08,1.07,78
691914,638249,1.06,-1.55,1,1.07,1.07,78
691915,638250,1.07,-1.56,1,1.07,1.07,78
691916,638251,1.06,-1.55,1,1.07,1.07,78
691917,638252,1.05,-1.65,1,1.06,1.07,78
691918,638253,1.08,-1.42,1,1.06,1.07,78
691919,638254,1.08,-1.51,1,1.07,1.07,78
691920,638255,1.06,-1.61,1,1.06,1.07,78
691921,638256,1.05,-1.62,1,1.06,1.07,78
691922,638257,1.06,-1.61,1,1.06,1.07,78
691924,638258,1.05,-1.55,1,1.06,1.07,78
691925,638259,1.05,-1.67,1,1.05,1.07,78
691926,638260,1.08,-1.61,1,1.05,1.07,78
691927,638261,1.07,-1.55,1,1.06,1.07,78
691928,638262,1.06,-1.53,1,1.06,1.07,78
691929,638263,1.11,-1.39,1,1.07,1.07,78
691930,638264,1.06,-1.52,1,1.07,1.07,78
691931,638265,1.06,-1.51,1,1.06,1.07,78
691932,638266,1.07,-1.52,1,1.06,1.07,78
691933,638267,1.06,-1.62,1,1.06,1.06,78
691934,638268,1.06,-1.55,1,1.06,1.06,78
691935,638269,1.07,-1.67,1,1.06,1.06,78
691937,638270,1.08,-1.53,1,1.07,1.06,78
691938,638271,1.07,-1.45,1,1.07,1.06,78
691939,638272,1.06,-1.62,1,1.07,1.07,78
691940,638273,1.07,-1.56,1,1.07,1.07,78
691941,638274,1.05,-1.73,1,1.07,1.07,78
691942,638275,1.07,-1.59,1,1.07,1.07,78
691943,638276,1.08,-1.51,1,1.07,1.07,78
691944,638277,1.06,-1.56,1,1.07,1.07,78
691945,638278,1.08,-1.55,1,1.07,1.07,78
691946,638279,1.08,-1.58,1,1.08,1.07,78
691947,638280,1.06,-1.58,1,1.08,1.07,78
691948,638281,1.07,-1.64,1,1.07,1.07,78
691950,638282,1.08,-1.45,1,1.08,1.07,78
691951,638283,1.07,-1.52,1,1.07,1.07,78
691952,638284,1.07,-1.56,1,1.07,1.07,78
691953,638285,1.09,-1.53,1,1.07,1.07,78
691954,638286,1.07,-1.58,1,1.07,1.07,78
691955,638287,1.06,-1.55,1,1.07,1.07,78
691956,638288,1.08,-1.55,1,1.07,1.07,78
691957,638289,1.07,-1.59,1,1.07,1.07,78
691958,638290,1.06,-1.53,1,1.07,1.07,78
691959,638291,1.06,-1.61,1,1.06,1.07,78
691960,638292,1.08,-1.48,1,1.07,1.07,78
691962,638293,1.06,-1.58,1,1.06,1.07,78
691963,638294,1.06,-1.52,1,1.06,1.07,78
691964,638295,1.08,-1.43,1,1.06,1.07,78
691965,638296,1.06,-1.51,1,1.06,1.07,78
691966,638297,1.07,-1.52,1,1.06,1.07,78
691967,638298,1.09,-1.53,1,1.07,1.07,78
691968,638299,1.07,-1.55,1,1.07,1.07,78
691969,638300,1.03,-1.74,1,1.07,1.07,78
691970,638301,1.07,-1.65,1,1.07,1.07,78
691971,638302,1.05,-1.56,1,1.07,1.07,78
691972,638303,1.05,-1.62,1,1.05,1.07,78
691973,638304,1.09,-1.58,1,1.05,1.07,78
