# ms,sample,dist,cppm,valid,dist_filt,dist_smooth,rx_fail
491246,453232,0.84,-1.68,1,0.84,0.83,59
491247,453233,0.83,-1.61,1,0.83,0.83,59
491248,453234,0.81,-1.58,1,0.82,0.83,59
491249,453235,0.83,-1.46,1,0.83,0.83,59
491250,453236,0.83,-1.70,1,0.83,0.83,59
491251,453237,0.85,-1.58,1,0.83,0.83,59
491252,453238,0.81,-1.70,1,0.83,0.83,59
491253,453239,0.83,-1.51,1,0.83,0.83,59
491254,453240,0.84,-1.68,1,0.83,0.83,59
491255,453241,0.84,-1.62,1,0.84,0.83,59
491256,453242,0.79,-1.74,1,0.83,0.83,59
491257,453243,0.81,-1.55,1,0.83,0.83,59
491259,453244,0.81,-1.80,1,0.81,0.83,59
491260,453245,0.82,-1.77,1,0.81,0.83,59
491261,453246,0.81,-1.61,1,0.81,0.83,59
491262,453247,0.84,-1.52,1,0.81,0.82,59
491263,453248,0.82,-1.76,1,0.82,0.82,59
491264,453249,0.83,-1.70,1,0.82,0.82,59
491265,453250,0.81,-1.73,1,0.82,0.82,59
491266,453251,0.81,-1.56,1,0.82,0.82,59
491267,453252,0.83,-1.65,1,0.82,0.82,59
491268,453253,0.83,-1.70,1,0.83,0.82,59
491269,453254,0.80,-1.82,1,0.81,0.82,59
491271,453255,0.83,-1.59,1,0.83,0.82,59
491272,453256,0.85,-1.58,1,0.83,0.82,59
491273,453257,0.83,-1.65,1,0.83,0.82,59
491274,453258,0.81,-1.68,1,0.83,0.82,59
491275,453259,0.85,-1.48,1,0.83,0.82,59
491276,453260,0.84,-1.58,1,0.84,0.82,59
491277,453261,0.85,-1.59,1,0.84,0.83,59
491278,453262,0.81,-1.68,1,0.84,0.83,59
491279,453263,0.83,-1.43,1,0.84,0.83,59
491280,453264,0.83,-1.59,1,0.83,0.83,59
491281,453265,0.83,-1.70,1,0.83,0.83,59
491282,453266,0.82,-1.58,1,0.83,0.83,59
491284,453267,0.82,-1.51,1,0.83,0.83,59
491285,453268,0.83,-1.64,1,0.83,0.83,59
491286,453269,0.83,-1.64,1,0.83,0.83,59
491287,453270,0.81,-1.70,1,0.82,0.83,59
491288,453271,0.80,-1.62,1,0.82,0.83,59
491289,453272,0.84,-1.52,1,0.83,0.83,59
491290,453273,0.84,-1.73,1,0.83,0.83,59
491291,453274,0.80,-1.77,1,0.81,0.83,59
491292,453275,0.80,-1.67,1,0.80,0.82,59
491293,453276,0.84,-1.46,1,0.84,0.83,59
491294,453277,0.84,-1.73,1,0.84,0.83,59
491295,453278,0.79,-1.74,1,0.80,0.82,59
491297,453279,0.80,-1.62,1,0.80,0.82,59
491298,453280,0.83,-1.64,1,0.83,0.82,59
491299,453281,0.83,-1.64,1,0.83,0.82,59
491300,453282,0.81,-1.64,1,0.81,0.82,59
491301,453283,0.83,-1.53,1,0.83,0.82,59
491302,453284,0.83,-1.64,1,0.83,0.82,59
491303,453285,0.83,-1.67,1,0.83,0.82,59
491304,453286,0.83,-1.56,1,0.83,0.82,59
491305,453287,0.82,-1.52,1,0.83,0.82,59
491306,453288,0.84,-1.55,1,0.83,0.82,59
491307,453289,0.84,-1.59,1,0.83,0.82,59
491308,453290,0.82,-1.61,1,0.83,0.82,59
491310,453291,0.80,-1.64,1,0.82,0.82,59
491311,453292,0.84,-1.52,1,0.84,0.82,59
491312,453293,0.83,-1.64,1,0.83,0.83,59
491313,453294,0.79,-1.62,1,0.82,0.82,59
491314,453295,0.83,-1.58,1,0.83,0.82,59
491315,453296,0.84,-1.46,1,0.83,0.83,59
491316,453297,0.85,-1.56,1,0.83,0.83,59
491317,453298,0.79,-1.70,1,0.83,0.83,59
491318,453299,0.81,-1.68,1,0.83,0.83,59
491319,453300,0.85,-1.37,1,0.84,0.83,59
491320,453301,0.83,-1.74,1,0.83,0.83,59
491321,453302,0.79,-1.62,1,0.81,0.83,59
491323,453303,0.83,-1.64,1,0.83,0.83,59
491324,453304,0.86,-1.43,1,0.83,0.83,59
491325,453305,0.83,-1.62,1,0.83,0.83,59
491326,453306,0.81,-1.68,1,0.83,0.83,59
491327,453307,0.82,-1.68,1,0.83,0.83,59
491328,453308,0.84,-1.56,1,0.83,0.83,59
491329,453309,0.83,-1.62,1,0.83,0.83,59
491330,453310,0.82,-1.62,1,0.82,0.83,59
491331,453311,0.83,-1.43,1,0.83,0.83,59
491332,453312,0.83,-1.53,1,0.83,0.83,59
491333,453313,0.86,-1.58,1,0.83,0.83,59
491334,453314,0.83,-1.59,1,0.83,0.83,59
491336,453315,0.83,-1.59,1,0.83,0.83,59
491337,453316,0.84,-1.59,1,0.83,0.83,59
491338,453317,0.84,-1.61,1,0.84,0.83,59
491339,453318,0.83,-1.53,1,0.83,0.83,59
491340,453319,0.82,-1.62,1,0.83,0.83,59
491341,453320,0.83,-1.59,1,0.83,0.83,59
491342,453321,0.87,-1.42,1,0.83,0.83,59
491343,453322,0.83,-1.58,1,0.83,0.83,59
491344,453323,0.81,-1.65,1,0.83,0.83,59
491345,453324,0.83,-1.67,1,0.83,0.83,59
491346,453325,0.83,-1.61,1,0.83,0.83,59
491348,453326,0.82,-1.61,1,0.83,0.83,59
491349,453327,0.83,-1.70,1,0.83,0.83,59
491350,453328,0.83,-1.58,1,0.83,0.83,59
491351,453329,0.83,-1.70,1,0.83,0.83,59
491352,453330,0.83,-1.51,1,0.83,0.83,59
491353,453331,0.81,-1.76,1,0.83,0.83,59
491354,453332,0.85,-1.59,1,0.83,0.83,59
