# ms,sample,dist,cppm,valid,dist_filt,dist_smooth,rx_fail
133791,123652,0.83,-1.95,1,0.85,0.83,8
133792,123653,0.84,-2.04,1,0.84,0.83,8
133793,123654,0.83,-2.06,1,0.83,0.83,8
133794,123655,0.84,-1.95,1,0.83,0.83,8
133795,123656,0.81,-2.13,1,0.83,0.83,8
133796,123657,0.84,-1.92,1,0.84,0.83,8
133798,123658,0.83,-1.95,1,0.83,0.83,8
133799,123659,0.83,-1.97,1,0.83,0.83,8
133800,123660,0.84,-1.97,1,0.83,0.83,8
133801,123661,0.86,-2.06,1,0.84,0.83,8
133802,123662,0.83,-2.06,1,0.83,0.83,8
133803,123663,0.82,-2.03,1,0.83,0.83,8
133804,123664,0.78,-2.13,1,0.83,0.83,8
133805,123665,0.82,-2.10,1,0.82,0.83,8
133806,123666,0.84,-1.91,1,0.82,0.83,8
133807,123667,0.85,-1.97,1,0.82,0.83,8
133808,123668,0.86,-1.94,1,0.84,0.83,8
133809,123669,0.83,-2.06,1,0.84,0.83,8
133811,123670,0.83,-1.94,1,0.84,0.83,8
133812,123671,0.83,-1.89,1,0.83,0.83,8
133813,123672,0.83,-1.98,1,0.83,0.83,8
133814,123673,0.84,-2.06,1,0.83,0.83,8
133815,123674,0.81,-2.06,1,0.83,0.83,8
133816,123675,0.81,-2.00,1,0.83,0.83,8
133817,123676,0.81,-2.06,1,0.81,0.83,8
133818,123677,0.85,-1.91,1,0.81,0.83,8
133819,123678,0.83,-1.83,1,0.81,0.83,8
133820,123679,0.83,-2.01,1,0.83,0.83,8
133821,123680,0.80,-2.10,1,0.83,0.83,8
133822,123681,0.81,-1.98,1,0.83,0.83,8
133824,123682,0.79,-2.04,1,0.81,0.83,8
133825,123683,0.83,-1.92,1,0.81,0.83,8
133826,123684,0.86,-2.04,1,0.81,0.82,8
133827,123685,0.85,-1.95,1,0.83,0.82,8
133828,123686,0.84,-2.06,1,0.84,0.83,8
133829,123687,0.83,-1.95,1,0.84,0.83,8
133830,123688,0.82,-2.03,1,0.84,0.83,8
133831,123689,0.84,-1.95,1,0.84,0.83,8
133832,123690,0.83,-2.01,1,0.83,0.83,8
133833,123691,0.82,-2.07,1,0.83,0.83,8
133834,123692,0.82,-1.91,1,0.82,0.83,8
133835,123693,0.83,-1.97,1,0.83,0.83,8
133837,123694,0.83,-1.92,1,0.83,0.83,8
133838,123695,0.85,-2.01,1,0.83,0.83,8
133839,123696,0.86,-2.01,1,0.83,0.83,8
133840,123697,0.83,-2.00,1,0.83,0.83,8
133841,123698,0.83,-2.03,1,0.83,0.83,8
133842,123699,0.83,-2.07,1,0.83,0.83,8
133843,123700,0.80,-1.88,1,0.83,0.83,8
133844,123701,0.85,-2.04,1,0.83,0.83,8
133845,123702,0.83,-2.00,1,0.83,0.83,8
133846,123703,0.83,-1.97,1,0.83,0.83,8
133847,123704,0.83,-2.03,1,0.83,0.83,8
133848,123705,0.83,-1.95,1,0.83,0.83,8
133850,123706,0.82,-2.03,1,0.83,0.83,8
133851,123707,0.83,-1.91,1,0.83,0.83,8
133852,123708,0.85,-2.06,1,0.83,0.83,8
133853,123709,0.84,-1.94,1,0.83,0.83,8
133854,123710,0.82,-2.07,1,0.83,0.83,8
133855,123711,0.83,-1.97,1,0.83,0.83,8
133856,123712,0.85,-1.97,1,0.84,0.83,8
133857,123713,0.82,-2.00,1,0.83,0.83,8
133858,123714,0.84,-2.07,1,0.83,0.83,8
133859,123715,0.83,-2.07,1,0.83,0.83,8
133860,123716,0.84,-1.92,1,0.84,0.83,8
133861,123717,0.82,-2.09,1,0.83,0.83,8
133863,123718,0.83,-1.97,1,0.83,0.83,8
133864,123719,0.83,-1.94,1,0.83,0.83,8
133865,123720,0.85,-2.01,1,0.83,0.83,8
133866,123721,0.83,-1.98,1,0.83,0.83,8
133867,123722,0.84,-2.00,1,0.83,0.83,8
133868,123723,0.82,-2.06,1,0.83,0.83,8
133869,123724,0.83,-2.01,1,0.83,0.83,8
133870,123725,0.86,-1.95,1,0.83,0.83,8
133871,123726,0.86,-1.97,1,0.84,0.83,8
133872,123727,0.84,-2.00,1,0.84,0.83,8
133873,123728,0.83,-2.01,1,0.84,0.83,8
133874,123729,0.82,-2.10,1,0.84,0.83,8
133876,123730,0.83,-1.91,1,0.83,0.83,8
133877,123731,0.84,-1.86,1,0.83,0.83,8
133878,123732,0.83,-2.01,1,0.83,0.83,8
133879,123733,0.85,-2.00,1,0.83,0.83,8
133880,123734,0.83,-2.10,1,0.83,0.83,8
133881,123735,0.83,-2.06,1,0.83,0.83,8
133882,123736,0.82,-2.03,1,0.83,0.83,8
133883,123737,0.84,-1.91,1,0.83,0.83,8
133884,123738,0.84,-1.97,1,0.83,0.83,8
133885,123739,0.83,-2.03,1,0.83,0.83,8
133886,123740,0.83,-2.04,1,0.83,0.83,8
133887,123741,0.81,-2.01,1,0.83,0.83,8
133889,123742,0.82,-1.94,1,0.83,0.83,8
133890,123743,0.81,-2.09,1,0.82,0.83,8
133891,123744,0.84,-1.94,1,0.82,0.83,8
133892,123745,0.83,-2.07,1,0.82,0.83,8
133893,123746,0.82,-1.89,1,0.82,0.83,8
133894,123747,0.83,-1.92,1,0.83,0.83,8
133895,123748,0.83,-1.92,1,0.83,0.83,8
133896,123749,0.83,-2.01,1,0.83,0.83,8
133897,123750,0.83,-2.06,1,0.83,0.83,8
133898,123751,0.85,-1.95,1,0.83,0.83,8
133899,123752,0.82,-1.98,1,0.83,0.83,8
133900,123753,0.82,-2.01,1,0.83,0.83,8
133902,123754,0.81,-2.06,1,0.82,0.83,8
133903,123755,0.83,-1.94,1,0.82,0.83,8
133904,123756,0.84,-2.01,1,0.82,0.83,8
133905,123757,0.84,-2.00,1,0.83,0.83,8
133906,123758,0.82,-2.15,1,0.83,0.83,8
133907,123759,0.82,-2.01,1,0.83,0.83,8
133908,123760,0.83,-1.95,1,0.83,0.83,8
133909,123761,0.84,-2.04,1,0.83,0.83,8
133910,123762,0.82,-2.07,1,0.82,0.83,8
133911,123763,0.83,-2.03,1,0.83,0.83,8
133912,123764,0.83,-1.91,1,0.83,0.83,8
133913,123765,0.79,-2.00,1,0.83,0.83,8
133915,123766,0.83,-1.91,1,0.83,0.83,8
133916,123767,0.84,-2.00,1,0.83,0.83,8
133917,123768,0.84,-2.03,1,0.83,0.83,8
133918,123769,0.83,-2.01,1,0.83,0.83,8
133919,123770,0.82,-2.12,1,0.83,0.83,8
133920,123771,0.82,-2.01,1,0.83,0.83,8
133921,123772,0.83,-1.85,1,0.83,0.83,8
133922,123773,0.83,-2.03,1,0.83,0.83,8
133923,123774,0.83,-2.01,1,0.83,0.83,8
133924,123775,0.82,-2.00,1,0.83,0.83,8
133925,123776,0.82,-1.97,1,0.83,0.83,8
133926,123777,0.82,-1.86,1,0.82,0.83,8
