ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt,dist_smooth
369620,151490,0.85,-64.3,-66.5,-1.22,4,7,2.09,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.85,0.81
369622,151491,0.83,-67.9,-69.6,-1.22,4,7,1.94,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.81
369624,151492,0.83,-68.0,-69.9,-1.31,4,7,1.17,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.81
369626,151493,0.78,-62.2,-63.7,-1.12,4,7,1.84,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.81
369628,151494,0.80,-62.2,-64.7,-1.27,4,7,2.02,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.81
369631,151495,0.83,-61.9,-63.8,-1.10,4,7,2.20,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.81
369633,151496,0.83,-63.7,-65.6,-1.25,4,7,1.44,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.82
369635,151497,0.88,-64.2,-65.8,-1.10,4,7,1.80,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.82
369637,151498,0.86,-68.4,-70.2,-1.16,4,7,1.03,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,2,0,1,0.83,0.82
369640,151499,0.86,-63.6,-65.2,-1.19,4,7,1.30,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.86,0.82
369642,151500,0.77,-68.1,-69.6,-1.37,4,7,1.70,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.86,0.82
369644,151501,0.86,-62.2,-64.2,-1.15,4,7,2.22,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.86,0.82
369646,151502,0.84,-61.9,-63.6,-1.16,4,7,1.31,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.86,0.83
369649,151503,0.82,-63.7,-65.5,-1.19,4,7,1.78,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.84,0.83
369651,151504,0.89,-64.2,-66.4,-1.10,4,7,2.11,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.84,0.83
369653,151505,0.83,-68.5,-70.1,-1.30,4,7,1.34,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.84,0.83
369655,151506,0.82,-67.9,-69.5,-1.18,4,7,1.73,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,1,1,1,0.83,0.83
369658,151507,0.83,-68.1,-69.8,-1.24,4,7,1.94,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,0,1,1,0.83,0.83
369660,151508,0.85,-68.6,-70.4,-1.06,4,7,2.33,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,0,1,1,0.83,0.83
369662,151509,0.83,-63.6,-65.3,-1.19,4,7,1.63,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,0,1,1,0.83,0.83
369664,151510,0.86,-68.1,-69.8,-1.18,4,7,1.80,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,0,1,1,0.83,0.83
